year,make,model,trim,body,transmission,vin,state,condition,odometer,color,mmr,sellingprice
2015,Ford,Transit Wagon,350 XL Medium Roof,Van,automatic,1fbax2cm0fka21524,sc,33,22252,black,29100,27200
2015,Honda,Civic,LX,sedan,automatic,19xfb2f51fe207158,pa,43,1888,blue,14850,16200
2015,Honda,Accord,EX-L V-6 w/Navigation,sedan,automatic,1hgcr3f89fa013657,il,36,7659,black,25900,24750
2015,Ford,Taurus,Limited,sedan,automatic,1fahp2f88fg114437,fl,45,16949,—,22000,22500
2015,GMC,Terrain,SLE-1,suv,automatic,2gkflvek1f6163897,mi,46,11537,silver,20700,20600
2015,GMC,Yukon,SLT,suv,automatic,1gks2bkc1fr189353,nv,5,6222,white,53200,54000
2015,Ford,Transit Van,250 Low Roof,transit van,automatic,1ftyr2yg3fka21444,tn,47,22722,white,22700,24900
2015,Honda,Pilot,EX-L,suv,automatic,5fnyf4h54fb063153,va,46,2340,gray,32700,31600
2015,Ford,Taurus,Limited,sedan,automatic,1fahp2f88fg102904,tn,35,35236,red,20100,19700
2015,GMC,Sierra 2500HD,SLT,crew cab,automatic,1gt12ze83ff104196,ga,42,36100,white,49600,49000
2015,Ford,Taurus,Limited,sedan,automatic,1fahp2f88fg104457,ne,39,18616,blue,21900,22500
2015,GMC,Acadia,Denali,SUV,automatic,1gkkvtkd4fj215478,il,5,13076,black,41900,41500
2015,Honda,Accord,EX-L V-6 w/Navigation,sedan,automatic,1hgcr3f88fa011396,il,49,6824,black,26000,24500
2015,Ford,Taurus,Limited,sedan,automatic,1fahp2f89fg101812,il,37,33293,black,20300,20900
2015,Ford,Taurus,Limited,sedan,automatic,1fahp2f81fg114697,fl,35,14737,—,22200,20000
2015,GMC,Terrain,SLE-1,suv,automatic,2gkflvek5f6155768,mi,48,11670,silver,20900,20800
2015,Ford,Taurus,Limited,sedan,automatic,1fahp2f81fg100914,tn,28,31370,—,20500,18700
2015,GMC,Terrain,SLT-2,suv,automatic,2gkflye32f6155141,ne,4,17137,silver,27600,27300
2015,Infiniti,QX80,Base,suv,automatic,jn8az2ne1f9082761,nv,5,147,black,69000,75000
2015,Hyundai,Sonata,SE,sedan,automatic,5npe24af2fh004329,mn,5,3305,gray,15500,16500
2015,Hyundai,Sonata,SE,sedan,automatic,5npe24af5fh177150,va,5,2010,silver,15750,14900
2015,Hyundai,Santa Fe Sport,Sport,suv,automatic,5xyztdlb4fg232882,va,44,14422,black,21600,21900
2015,Hyundai,Elantra,SE,sedan,automatic,5npdh4aexfh581367,tx,45,20312,blue,12800,12900
2015,Hyundai,Tucson,SE,suv,automatic,km8jucag2fu971536,il,47,17490,white,20000,19800
2015,Hyundai,Genesis,3.8,sedan,automatic,kmhgn4je7fu021622,ca,5,2943,red,37700,39000
2015,Hyundai,Genesis,3.8,sedan,automatic,kmhgn4je6fu067376,ca,5,288,white,38200,35500
2015,Hyundai,Sonata,SE,sedan,automatic,5npe24af5fh120835,ms,1,10244,black,15250,7750
2015,Hyundai,Elantra,SE,sedan,automatic,5npdh4ae2fh580309,ga,2,32689,silver,12400,10600
2015,Hyundai,Santa Fe Sport,Sport,suv,automatic,5xyzt3lb9fg252281,fl,5,8325,blue,19550,19400
2015,Hyundai,Santa Fe Sport,Sport,suv,automatic,5xyzt3lb8fg271002,ga,2,6601,white,19600,14300
2015,Hyundai,Tucson,GLS,suv,automatic,km8jtcaf2fu066384,az,49,604,gray,20300,20100
2015,Jaguar,F-TYPE,R,coupe,automatic,sajwa6da3fmk11225,oh,48,6860,red,88000,87750
2015,Hyundai,Genesis,5,sedan,automatic,kmhgn4jf1fu085387,tx,5,13,blue,38700,40000
2015,Hyundai,Tucson,SE,suv,automatic,km8jucag4fu955581,va,48,15004,gray,20100,20000
2015,Hyundai,Elantra,SE,sedan,automatic,5npdh4ae1fh591673,sc,32,22665,white,12700,10100
2015,Jeep,Patriot,Sport,suv,automatic,1c4njpba7fd155955,il,3,13964,blue,15400,14300
2015,Jeep,Patriot,Sport,suv,automatic,1c4njpba5fd124008,il,4,13192,gray,15450,14800
2015,Jeep,Patriot,Sport,suv,automatic,1c4njpba4fd124081,il,3,8976,gray,15650,15100
2015,Jeep,Compass,Sport,suv,automatic,1c4njcba0fd124457,il,4,11788,gray,16250,15200
2015,Jeep,Patriot,Sport,suv,automatic,1c4njpba6fd155980,il,4,10917,gray,15550,14900
